"","IncomeRange","OccGroup","N","BorrowerAPR","sd","se","ci"
"276","$100k+","Fireman",80,0.20047875,0.0811287059558039,0.00907046507218848,0.0180543091098226
"278","$100k+","Food Service",15,0.234986666666667,0.0811935765111173,0.0209640913097717,0.0449635039654916
"279","$100k+","Food Service Management",63,0.206373015873016,0.0697423450912165,0.00878670956960976,0.0175643821580945
"281","$100k+","Investor",83,0.204919518072289,0.0879416450489258,0.00965284959107135,0.0192025928207664
"282","$100k+","Judge",18,0.165506666666667,0.0748935944798862,0.0176525895080543,0.03724370833319
"283","$100k+","Laborer",19,0.222780526315789,0.052805593293144,0.012114433937817,0.0254514812650039
"284","$100k+","Landscaping",14,0.230363571428571,0.0827972961846853,0.0221285082053098,0.0478057355410311
"285","$100k+","Medical Technician",50,0.2038586,0.0756619111307611,0.010700210087619,0.0215028772241597
"286","$100k+","Military",153,0.202198366013072,0.0805244585715022,0.0065100166301172,0.0128618003260989
"287","$100k+","Nursing",524,0.196655534351145,0.0738742122364573,0.00322720994568156,0.00633988689684697
"288","$100k+","Other",2668,0.196338556971514,0.0754577830298284,0.00146086851359362,0.00286454968138415
"289","$100k+","Pharmacist",216,0.1877825,0.0732140876280604,0.00498158768533785,0.0098190038498938
"290","$100k+","Pilot",97,0.199476494845361,0.0751517430913565,0.00763050341509157,0.0151464295679753
"291","$100k+","Police Officer",268,0.200665,0.0770763155181777,0.00470818531994352,0.00926989250881958
"293","$100k+","Principal",95,0.202047684210526,0.0805959001709597,0.00826896488422208,0.0164182236175947
"294","$100k+","Professional",3454,0.200442405906196,0.07977145975691,0.00135733289002132,0.00266125641224098
"295","$100k+","Professor",132,0.169787727272727,0.077196127227455,0.0067190604383066,0.0132919043064762
"296","$100k+","Psychologist",30,0.211526,0.0736004546743827,0.0134375430892653,0.0274828614436009
"297","$100k+","Realtor",98,0.205916020408163,0.0772933252441538,0.00780780491722836,0.0154963314510971
"299","$100k+","Retail Management",249,0.210689076305221,0.0738525415643518,0.00468021465521967,0.00921803683866471
"300","$100k+","Sales",1052,0.203094904942966,0.0780323503487011,0.00240584042629377,0.0047207970986188
"301","$100k+","Skilled Labor",109,0.195074128440367,0.0745614223210563,0.00714168901625827,0.0141560665940572
"302","$100k+","Social Worker",24,0.228889166666667,0.0738696659468652,0.0150785824199722,0.0311924242774063
"304","$100k+","Teacher",128,0.20038921875,0.0742448415409975,0.00656237886522,0.0129857634926184
"306","$100k+","Tradesman",127,0.197672834645669,0.0721033806848661,0.0063981404201624,0.0126617317989093
"307","$100k+","Truck Driver",93,0.216926774193548,0.0725278842803009,0.00752079125196702,0.0149369405981775
